id;i_d_caracteristique;marque;modele;taille;couleur
1;69936;plum Mobility;Krona Loan Handcrafted;program;Gourde auxiliary
2;61651;Sausages;migration Borders;synergistic quantify;Corporate
3;25804;Islands program;Triple-buffered JBOD index;microchip viral Chair;matrices User-centric 1080p
4;40346;Practical Kyrgyz;Personal neural;olive Corporate;Account
5;58738;Garden maroon;microchip Myanmar;Bacon;Alley grey Rufiyaa
6;82212;Tuna;Ball Hat;Outdoors Connecticut Texas;Minnesota Fantastic
7;82017;Table;Buckinghamshire Granite models;homogeneous Salad;Fantastic Wooden deposit
8;71760;Borders bypassing;Product Implementation;Mobility override calculate;Quality-focused Borders Shirt
9;852;ability;XML compress matrix;Prairie;Developer Regional
10;12809;ubiquitous;optical;Sleek;iterate Awesome sensor
