id;i_d_commande;liste_produit;somme;addresse_livraison;mode_paiement;date_livraison
1;44928;80404;16215;PCI software;59840;2021-11-24T15:48:19
2;97545;42697;38038;Investor Principal;59850;2021-11-24T14:16:01
3;43405;65232;22542;feed partnerships Republic;46284;2021-11-24T14:50:59
4;48905;26296;55526;azure;95500;2021-11-25T09:52:19
5;94553;7483;34575;Markets customized Car;58983;2021-11-24T20:12:04
6;48327;34235;75325;Arkansas Planner;79062;2021-11-24T18:46:36
7;73469;46664;80841;Tugrik input Mauritius;34996;2021-11-25T04:08:57
8;42311;72971;64279;Tennessee;53989;2021-11-24T22:11:57
9;41936;20428;43577;service-desk open-source;83043;2021-11-25T07:04:22
10;34688;31354;86870;Washington Licensed;68191;2021-11-24T17:18:56
