id;sum;delivey_adress;delivery_date_time;quantity;billing_method;order_state
1;48469;monitor;2021-11-24T16:16:49;76865;CREDIT_CARD;PROCESSING
2;96959;Peso Handcrafted;2021-11-24T15:51:36;77186;PAYPAL;PAID
3;44495;Buckinghamshire Orchestrator;2021-11-25T06:50:18;17935;CREDIT_CARD;PAID
4;36148;Outdoors Investment synergize;2021-11-24T16:28:12;73814;CREDIT_CARD;PAID
5;47723;online deliverables;2021-11-25T10:28:58;44552;CREDIT_CARD;PAID
6;92332;multi-tasking Jewelery;2021-11-25T10:58:21;38593;CREDIT_CARD;PROCESSING
7;67523;Response;2021-11-24T23:47:56;85604;PAYPAL;PAID
8;45175;Bedfordshire;2021-11-25T02:16:48;30058;PAYPAL;PROCESSING
9;28537;proactive Practical impactful;2021-11-24T20:20:33;4373;CREDIT_CARD;PAID
10;91160;Cambridgeshire;2021-11-25T10:11:57;43164;PAYPAL;PROCESSING
