id;description;photo_id;stock;price;model_name;color;sub_family_id;brand_id;seller_id
1;Chaussure incroyable de type incroyable;31485;10;120;Yeezy;BLUE;4;3;1
2;voiture de type rapide;46955;10;123 986;Civic;GREEN;5;8;4
3;Basket de type rebondissante;66812;10;79;Jordan 1 Low;RED;4;4;6
4;chaussure de type claquette;70316;10;19;Brazil Tong;BLUE;4;9;2
5;4x4 de type lent;37638;10;30106;CHR;ORANGE;5;10;8
6;Minitel de type intelligent;55869;10;599;S10;PURPLE;1;6;10
7;beaucoup trop cher pour ce que c'est;14557;10;1099;Iphone 12 pro Max;PURPLE;1;6;6
8;Voiture rapide cheval;1234;10;10000;458;RED;5;1;8
9;Voiture tres rapide francaise monsieur;3456;1;2000000;Chiron;BLUE;5;11;6
10;Voiture rapide hybride;56789;7;1000000;P1;RED;5;2;4
11;4x4 carre allemand;5678;35;123000;Classe G;GREEN;5;12;3
12;Monstre de vitesse taureau;9876;12;147010;Gallardo;GREEN;5;13;9
13;Fleur japonaise rapide;678;76;230000;Elise;YELLOW;5;14;1
14;Chaussure lifestyle;98765;102;400;2002R;GREEN;4;15;2
15;Chaussure dark running;4567890;129;204;Ultraboost;GREEN;4;3;4
16;Smic/20;34567;1269;1200;S21 Ultra;GREEN;1;6;7
17;Smic/20 #2;234567;1259;1259;IPhone 13 Pro Max;BLUE;1;7;5
