id;i_d_produit;nom;description;photo;stock;tags;tarif
1;98199;lavender;next Union;3486;42889;Stand-alone Representative XSS;29563
2;58092;Movies schemas;auxiliary Loan Internal;17517;58496;Balanced;27610
3;37634;calculate China;Sausages Table;79258;75223;Handmade Cambridgeshire;98969
4;86777;Computer initiatives;Global;27324;71359;generating Fresh;36719
5;30088;Beauty;clear-thinking;9660;74623;Practical;44535
6;91660;Implementation;synergize Savings;18318;41489;orange Sports;48148
7;69539;FTP;Soft Table;98601;15695;Steel;12685
8;3714;Bedfordshire;Concrete;14898;35547;quantify Handcrafted Borders;20166
9;64202;Turkey Computers Cheese;strategize Walk Cambridgeshire;76736;64806;synthesize Soft;98134
10;52238;Keyboard Gibraltar;up Soft;18699;91369;Refined Granite Ergonomic;14908
